2023-04-01 16:33:56,585 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-01 16:33:58,074 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics recorder config provided for this setup.
2023-04-01 16:33:58,074 | 1.1.0 | INFO | ibmfl.util.config                             | No model config provided for this setup.
2023-04-01 16:33:58,484 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics config provided for this setup.
2023-04-01 16:33:58,484 | 1.1.0 | INFO | ibmfl.util.config                             | No evidencia recordeer config provided for this setup.
2023-04-01 16:33:58,484 | 1.1.0 | INFO | ibmfl.util.data_handlers.mnist_keras_data_handler | Loaded training data from examples/datasets/mnist.npz
2023-04-01 16:33:58,769 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-01 16:33:58,769 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.START
2023-04-01 16:33:58,769 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-01 16:33:58,769 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-01 16:33:58,774 | 1.1.0 | INFO | __main__                                      | Aggregator initialization successful
2023-04-01 16:35:26,863 | 1.1.0 | INFO | ibmfl.util.config                             | Getting config from file
2023-04-01 16:35:26,863 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-01 16:35:27,745 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics recorder config provided for this setup.
2023-04-01 16:35:32,548 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics config provided for this setup.
2023-04-01 16:35:32,548 | 1.1.0 | INFO | ibmfl.util.config                             | No evidencia recordeer config provided for this setup.
2023-04-01 16:35:32,549 | 1.1.0 | INFO | ibmfl.util.data_handlers.mnist_keras_data_handler | Loaded training data from examples/data/mnist/random/data_party0.npz
2023-04-01 16:35:32,583 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/ibmfl/model/keras_fl_model.py:59: The name tf.get_default_graph is deprecated. Please use tf.compat.v1.get_default_graph instead.

2023-04-01 16:35:32,587 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/ibmfl/model/keras_fl_model.py:60: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

